Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
639,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
640,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
641,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
642,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
643,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
644,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
645,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
646,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
647,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
648,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
649,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
650,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
651,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
652,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
653,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
654,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
655,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
656,3,28.67,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,
657,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
658,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
659,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
660,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
661,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
662,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
663,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
664,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
665,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
666,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
667,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
668,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
669,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
