Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
12015,5,285.0,0,0,0,0,0
12016,5,285.0,0,0,0,0,0
12017,5,285.0,0,0,0,0,0
12018,5,285.0,0,0,0,0,0
12019,5,285.0,0,0,0,0,0
12020,5,285.0,0,0,0,0,0
12021,5,285.0,0,0,0,0,0
12022,5,285.0,0,0,0,0,0
12023,5,285.0,0,0,0,0,0
12024,5,285.0,0,0,0,0,0
12025,5,285.0,0,0,0,0,0
12026,5,285.0,0,0,0,0,0
12027,5,285.0,0,0,0,0,0
12028,5,285.0,0,0,0,0,0
12029,5,285.0,0,0,0,0,0
12030,5,285.0,0,0,0,0,0
12031,5,285.0,0,0,0,0,0
12032,5,285.0,0,0,0,0,0
12033,5,285.0,0,0,0,0,0
12034,5,285.0,0,0,0,0,0
12035,5,285.0,0,0,0,0,0
12036,5,285.0,0,0,0,0,0
12037,5,285.0,0,0,0,0,0
12038,5,285.0,0,0,0,0,0
12039,5,285.0,0,0,0,0,0
12040,5,285.0,0,0,0,0,0
12041,5,285.0,0,0,0,0,0
12042,5,285.0,0,0,0,0,0
12043,5,285.0,0,0,0,0,0
12044,5,285.0,0,0,0,0,0
12045,5,285.0,0,0,0,0,0
12046,5,285.0,0,0,0,0,0
12047,5,285.0,0,0,0,0,0
12048,5,285.0,0,0,0,0,0
12049,5,285.0,0,0,0,0,0
12050,5,285.0,0,0,0,0,0
12051,5,285.0,0,0,0,0,0
12052,5,285.0,0,0,0,0,0
12053,5,285.0,0,0,0,0,0
12054,5,285.0,0,0,0,0,0
12055,5,285.0,0,0,0,0,0
12056,5,285.0,0,0,0,0,0
12057,5,285.0,0,0,0,0,0
12058,5,285.0,0,0,0,0,0
12059,5,285.0,0,0,0,0,0
12060,5,285.0,0,0,0,0,0
12061,5,285.0,0,0,0,0,0
12062,5,285.0,0,0,0,0,0
12063,5,285.0,0,0,0,0,0
12064,5,285.0,0,0,0,0,0
12065,5,285.0,0,0,0,0,0
12066,5,285.0,0,0,0,0,0
12067,5,285.0,0,0,0,0,0
12068,5,285.0,0,0,0,0,0
12069,5,285.0,0,0,0,0,0
12070,5,285.0,0,0,0,0,0
12071,5,285.0,0,0,0,0,0
12072,5,285.0,0,0,0,0,0
12073,5,285.0,0,0,0,0,0
12074,5,285.0,0,0,0,0,0
12075,5,285.0,0,0,0,0,0
12076,5,285.0,0,0,0,0,0
12077,5,285.0,0,0,0,0,0
12078,5,285.0,0,0,0,0,0
12079,5,285.0,0,0,0,0,0
12080,5,285.0,0,0,0,0,0
12081,5,285.0,0,0,0,0,0
12082,5,285.0,0,0,0,0,0
12083,5,285.0,0,0,0,0,0
12084,5,285.0,0,0,0,0,0
12085,5,285.0,0,0,0,0,0
12086,5,285.0,0,0,0,0,0
12087,5,285.0,0,0,0,0,0
12088,5,285.0,0,0,0,0,0
12089,5,285.0,0,0,0,0,0
12090,5,285.0,0,0,0,0,0
12091,5,285.0,0,0,0,0,0
12092,5,285.0,0,0,0,0,0
12093,5,285.0,0,0,0,0,0
12094,5,285.0,0,0,0,0,0
12095,5,285.0,0,0,0,0,0
12096,5,285.0,0,0,0,0,0
12097,5,285.0,0,0,0,0,0
12098,5,285.0,0,0,0,0,0
12099,5,285.0,0,0,0,0,0
12100,5,285.0,0,0,0,0,0
12101,5,285.0,0,0,0,0,0
12102,5,285.0,0,0,0,0,0
12103,5,285.0,0,0,0,0,0
12104,5,285.0,0,0,0,0,0
12105,5,285.0,0,0,0,0,0
12106,5,285.0,0,0,0,0,0
12107,5,285.0,0,0,0,0,0
12108,5,285.0,0,0,0,0,0
12109,5,285.0,0,0,0,0,0
12110,5,285.0,0,0,0,0,0
12111,5,285.0,0,0,0,0,0
12112,5,285.0,0,0,0,0,0
12113,5,285.0,0,0,0,0,0
12114,5,285.0,0,0,0,0,0
12115,5,285.0,0,0,0,0,0
12116,5,285.0,0,0,0,0,0
12117,5,285.0,0,0,0,0,0
12118,5,285.0,0,0,0,0,0
12119,5,285.0,0,0,0,0,0
12120,5,285.0,0,0,0,0,0
12121,5,285.0,0,0,0,0,0
12122,5,285.0,0,0,0,0,0
12123,5,285.0,0,0,0,0,0
12124,5,285.0,0,0,0,0,0
12125,5,285.0,0,0,0,0,0
12126,5,285.0,0,0,0,0,0
12127,5,285.0,0,0,0,0,0
12128,5,285.0,0,0,0,0,0
12129,5,285.0,0,0,0,0,0
12130,5,285.0,0,0,0,0,0
12131,5,285.0,0,0,0,0,0
12132,5,285.0,0,0,0,0,0
12133,5,285.0,0,0,0,0,0
12134,5,285.0,0,0,0,0,0
12135,5,285.0,0,0,0,0,0
12136,5,285.0,0,0,0,0,0
12137,5,285.0,0,0,0,0,0
12138,5,285.0,0,0,0,0,0
12139,5,285.0,0,0,0,0,0
12140,5,285.0,0,0,0,0,0
12141,5,285.0,0,0,0,0,0
12142,5,285.0,0,0,0,0,0
