Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10811,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10812,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10813,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10814,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10815,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10816,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10817,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10818,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10819,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10820,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10821,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10822,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10823,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10824,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10825,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10826,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10827,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10828,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10829,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10830,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10831,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10832,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
