Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
11143,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11144,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11145,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11146,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11147,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11148,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11149,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11150,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11151,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11152,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11153,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11154,6,34.33,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11155,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11156,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11157,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11158,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11159,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11160,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11161,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11162,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11163,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
